AbstractFactory,Adapter,Builder,Decorator,Facade,FactoryMethod,Memento,Observer,Prototype,Proxy,Singleton,Visitor
83,0,0,0,1,4,0,0,0,1,0,0
1,71,3,5,3,3,0,6,4,3,0,0
0,2,79,2,5,7,1,0,0,0,2,0
0,3,6,78,3,2,2,2,2,2,0,0
0,6,4,3,70,4,1,1,1,5,5,1
3,4,1,2,5,79,0,0,2,2,0,0
0,2,0,2,4,0,83,1,0,3,3,0
0,3,0,2,1,0,0,90,0,3,1,0
0,3,1,2,2,2,1,1,79,3,3,0
0,10,2,4,9,2,2,6,5,54,5,0
1,1,2,4,8,1,0,2,1,10,67,0
0,0,1,2,1,5,0,0,0,0,1,84
