AbstractFactory,Adapter,Builder,Decorator,Facade,FactoryMethod,Memento,Observer,Prototype,Proxy,Singleton,Visitor
83,0,1,0,1,3,0,0,0,0,0,1
1,61,3,1,6,4,3,10,4,6,0,0
0,1,82,2,5,5,0,2,0,0,0,1
0,0,4,76,5,1,6,4,1,2,0,1
0,1,7,1,72,0,4,3,3,4,5,1
6,2,3,2,3,69,1,0,5,2,4,1
0,0,0,3,2,1,83,1,2,2,3,1
0,0,0,0,1,0,0,91,0,7,0,1
2,4,1,2,1,0,2,1,77,4,2,1
1,6,4,2,10,0,3,6,4,60,3,0
2,0,1,1,9,2,4,6,1,13,57,1
2,0,2,0,2,0,2,0,0,0,0,86
