AbstractFactory,Adapter,Builder,Decorator,Facade,FactoryMethod,Memento,Observer,Prototype,Proxy,Singleton,Visitor
82,0,1,0,1,4,0,0,0,0,1,0
1,62,5,2,7,1,1,11,3,3,3,0
1,0,82,1,6,3,1,3,0,0,0,1
0,1,5,74,4,2,4,6,1,1,2,0
0,0,5,1,78,0,3,2,2,6,3,1
10,1,2,2,7,69,1,0,1,3,2,0
0,1,0,1,3,1,86,1,0,2,3,0
0,0,0,0,2,0,0,94,0,4,0,0
2,3,1,1,1,0,3,2,77,3,2,2
0,1,6,4,12,0,4,6,4,59,3,0
1,0,2,1,8,5,4,8,1,8,59,0
1,0,2,0,2,0,2,0,0,0,0,87
