AbstractFactory,Adapter,Builder,Decorator,Facade,FactoryMethod,Memento,Observer,Prototype,Proxy,Singleton,Visitor
85,0,0,0,0,2,0,0,0,1,0,1
1,52,2,2,9,1,3,12,9,6,1,1
2,1,81,1,5,3,0,3,0,0,0,2
1,0,3,71,10,1,4,5,3,2,0,0
0,0,5,1,71,1,6,4,2,5,5,1
13,2,3,1,3,65,0,0,7,1,2,1
0,0,0,1,6,1,83,4,2,0,0,1
0,0,0,0,1,0,0,93,0,6,0,0
2,2,3,3,2,0,4,3,71,4,2,1
1,2,5,3,11,0,7,6,5,55,2,2
4,0,2,1,10,7,4,5,1,11,50,2
1,0,2,0,3,0,4,1,0,0,0,83
