AbstractFactory,Adapter,Builder,Decorator,Facade,FactoryMethod,Memento,Observer,Prototype,Proxy,Singleton,Visitor
66,0,0,1,2,15,0,0,0,0,5,0
1,55,3,7,9,1,1,8,6,6,2,0
3,2,67,4,6,5,1,1,2,4,2,1
0,2,2,68,3,4,3,3,4,9,2,0
4,6,4,5,57,0,2,1,7,7,7,1
11,2,2,1,3,67,1,0,3,0,8,0
0,1,1,5,14,0,63,1,4,4,5,0
0,3,0,2,3,0,0,84,0,6,2,0
1,5,2,3,10,5,3,2,62,2,2,0
1,8,4,7,13,0,3,7,6,37,13,0
3,1,0,5,9,12,0,5,1,9,52,0
2,3,7,8,8,1,2,0,0,0,1,62
