AbstractFactory,Adapter,Builder,Decorator,Facade,FactoryMethod,Memento,Observer,Prototype,Proxy,Singleton,Visitor
83,0,1,0,1,3,0,0,0,1,0,0
1,66,3,4,4,3,1,8,4,5,0,0
0,2,83,0,5,5,0,2,0,0,1,0
0,1,6,76,2,2,5,4,3,1,0,0
0,4,5,2,75,0,1,1,2,5,5,1
2,4,3,2,4,79,0,0,1,2,1,0
0,2,0,1,4,1,83,1,0,3,3,0
0,2,0,0,1,0,0,92,0,5,0,0
1,2,1,3,1,1,2,2,79,3,2,0
0,8,2,3,9,2,2,4,3,61,5,0
1,1,2,2,7,2,2,3,1,10,66,0
0,1,1,0,2,2,1,0,0,0,0,87
