AbstractFactory,Adapter,Builder,Decorator,Facade,FactoryMethod,Memento,Observer,Prototype,Proxy,Singleton,Visitor
83,0,0,0,1,2,0,0,1,1,1,0
0,64,1,3,9,3,2,8,4,4,1,0
1,3,78,2,4,2,1,0,1,2,3,1
0,0,3,79,4,1,1,2,5,4,0,1
0,6,4,3,63,2,3,1,6,5,7,1
8,5,3,3,2,67,2,0,3,2,3,0
0,3,1,3,7,0,81,0,0,2,1,0
0,3,1,1,0,0,0,88,1,5,1,0
1,5,1,1,8,1,3,1,68,3,5,0
0,6,3,1,5,1,4,4,5,58,12,0
2,3,2,5,9,3,0,3,2,8,60,0
0,1,0,0,2,1,4,0,0,0,0,86
